id,createdAt,date,description,amount,category,method,taxReturnable,participants,notes
d2d32abd-0b2d-4c4e-ad59-dc3a664da2e9,2026-04-30T15:41:57.647Z,2026-04-07,we mart,48.00,Utilities,UPI,no,,
85d5fdad-09cc-49e7-89ac-3bc039355808,2026-04-30T15:48:08.687Z,2026-04-09,Train,33.95,Travel,UPI,yes,,
51153715-1fb7-452c-87aa-d3e79674460a,2026-04-30T15:49:16.525Z,2026-04-10,greens,604.00,Utilities,UPI,yes,,
8d04444c-6278-4988-afa5-aa0aca947d32,2026-04-30T16:05:09.230Z,2026-04-08,dominos,226.00,Lunch,Card - Tata Neu,yes,Hanna:113|You:113,
b231d284-8590-4f0d-89d4-aed5a2a98703,2026-04-30T16:10:39.814Z,2026-04-11,auto to bs,93.00,Travel,UPI,yes,Ann Mary:46.5|You:46.5,
1d391ae6-5791-4826-99ae-176781ef7b9c,2026-04-30T16:11:49.122Z,2026-04-11,lend,2500.00,Lend,UPI,yes,N:2500,
8caa8998-bc79-4269-bce3-df18561c44dd,2026-04-30T16:14:06.286Z,2026-04-11,cake - bridal,1800.00,Miscellaneous,UPI,yes,Ann Mary:1800|You:0,
ba83382a-688a-4afc-81c6-2f3663a68ea7,2026-04-30T16:17:20.212Z,2026-04-12,chiking - dineout,476.00,Food,Card - Moneyback,yes,N:238|You:238,
4a5ad9af-3f7a-42d8-9390-8af91da3c979,2026-04-30T16:18:25.936Z,2026-04-13,Auto to office,72.00,Travel,UPI,yes,Hanna:24|You:24|Cinta:024,
d23d7059-7c41-4f9c-bf05-160a883e911c,2026-04-30T16:20:53.977Z,2026-04-13,lunch,216.00,Lunch,Card - Moneyback,yes,Hanna:108|You:108,
d7b56cd6-6005-494a-8fae-22b6a32f87f4,2026-04-30T16:24:16.540Z,2026-04-15,auto to chappal,98.66,Travel,UPI,yes,,
b8548abc-01ab-4e24-9731-a9d268c5083b,2026-04-30T16:25:22.055Z,2026-04-15,punjabi restorant,215.00,Food,UPI,yes,N:107.5|You:107.5,
6f292a25-6c46-401a-bf32-8da05e7000dc,2026-04-30T16:26:34.857Z,2026-04-16,train,33.95,Travel,UPI,yes,,
293c1662-6b7d-4775-8882-4d9d4844b373,2026-04-30T16:27:02.055Z,2026-04-17,alteration,200.00,Personal Items,UPI,yes,,
cd79d322-6e67-4546-9acc-3e44fe5d7efa,2026-04-30T16:27:30.740Z,2026-04-16,oil - railways station,100.00,Charity,UPI,yes,,
5ab61104-6433-4a6a-9d48-b98df6e997ec,2026-04-30T16:28:31.674Z,2026-04-17,kseb -payyapdy,1089.00,Home,UPI,yes,,
925e7730-df95-4c82-aa01-97d0e5441e20,2026-04-30T16:29:11.209Z,2026-04-18,shanthigiri,1600.00,Medicine,UPI,yes,,
fa80b3e5-1045-4707-bd24-ab27cff942cd,2026-04-30T16:30:17.988Z,2026-04-19,bsnl,148.90,Bills,UPI,yes,,
1351b0b0-676c-40ae-a2df-bec1e2bbc65d,2026-04-30T16:31:14.133Z,2026-04-19,perunal -nercha,2000.00,Miscellaneous,UPI,yes,,
8ac6fa15-7550-46ad-b94a-77eef74a50bc,2026-04-30T16:31:47.541Z,2026-04-19,train,33.95,Travel,UPI,yes,,
1789e19b-0b18-474d-823b-9c238b9ae376,2026-04-30T16:33:09.741Z,2026-04-19,avo burger,350.00,Food,UPI,yes,You:175|N:175,
39604095-e20b-47d8-a4d4-2f86f65ec331,2026-04-30T16:34:17.592Z,2026-04-20,uber to office,83.00,Travel,UPI,yes,Hamda:41.5|You:41.5,
2059a548-6ca4-4e18-9072-be1d1b139991,2026-04-30T16:35:18.508Z,2026-04-20,pargon - bead omlet,60.00,Lunch,UPI,yes,,
4c3b95c6-edc6-4c3c-a568-49e838c479d3,2026-04-30T16:36:01.325Z,2026-04-20,Bag,3699.00,Personal Items,UPI,yes,,
d89ed177-7189-4e7d-9e3f-1d8f29f836b5,2026-04-30T16:53:03.240Z,2026-04-21,auto to off,72.00,Travel,UPI,yes,Cinta:36|You:36,
265dd8d7-3b97-4a79-a52e-409c98d67c40,2026-04-30T16:55:17.099Z,2026-04-22,Ali Cafe,35.00,Food,UPI,yes,,
5cce8caf-cc12-4b6b-9340-861f6fa6c59f,2026-04-30T16:55:59.789Z,2026-04-23,Lend,5000.00,Lend,UPI,yes,N:5000,
72424518-3516-4808-868b-7d1d24481390,2026-04-30T16:57:01.093Z,2026-04-24,sleeba,150.00,Miscellaneous,UPI,yes,,
4525b3f2-318e-4117-a051-b223f3dc48b9,2026-04-30T16:59:07.744Z,2026-04-25,milk,17.50,Utilities,UPI,yes,,
273c71cf-118a-433c-b5bb-bf3f5b70764a,2026-04-30T16:59:32.452Z,2026-04-25,electricity,615.00,Bills,UPI,yes,,
296f9595-53d0-405f-9fcd-2534f8a52583,2026-04-30T17:00:31.450Z,2026-04-12,mushroom,16.67,Utilities,UPI,yes,,
b6dd6f52-659c-4dcc-9846-c4db5ee79221,2026-04-30T17:02:37.699Z,2026-04-25,wifi,188.00,Bills,UPI,yes,,
7946833d-2f35-4c25-994f-9c82b27a6ba4,2026-04-30T17:03:35.632Z,2026-04-25,auto to chappal,50.00,Travel,UPI,yes,,
acfc6a77-4455-45ff-820a-4780eacbc43b,2026-04-30T17:04:06.797Z,2026-04-25,auto to flat,81.04,Travel,UPI,yes,,
b4148494-8ec9-4851-a612-32608daa4921,2026-04-30T17:04:38.362Z,2026-04-26,uber to church,72.00,Travel,UPI,yes,,
a8b838c3-d434-486d-a144-17f1496a32fe,2026-04-30T17:05:02.348Z,2026-04-26,perunal,1000.00,Miscellaneous,UPI,yes,,
840e5759-44c1-4585-a2b6-17a11f27623d,2026-04-30T17:05:27.257Z,2026-04-26,auto to flat,72.00,Travel,UPI,yes,,
c6264353-4926-4918-9d6c-1238bcad5f21,2026-04-30T17:06:10.666Z,2026-04-26,karikku,100.00,Food,UPI,yes,You:50|Hamda:50,
a865a3dd-ca4d-4288-8d34-eb45596e0d8b,2026-04-30T17:06:53.328Z,2026-04-27,choco for him,96.00,Personal Items,UPI,yes,,
46deb59e-81c9-4365-9289-f416c1e7f570,2026-04-30T17:07:28.753Z,2026-04-27,uber to flat,137.00,Travel,UPI,yes,,
92721473-61ae-43f0-9f95-5862d130e095,2026-04-30T17:07:54.108Z,2026-04-27,uber to office,174.70,Travel,UPI,yes,,
d6f74a5a-55d0-4f2c-8f38-2ab6917460f7,2026-04-30T17:10:39.428Z,2026-04-27,Body tape,165.00,Personal Items,UPI,yes,,
0506c6bb-0e53-4241-b93c-2f4277831114,2026-04-30T17:11:18.478Z,2026-04-28,milk,17.00,Utilities,UPI,yes,,
3925949b-4188-4f97-881c-d0869dbb320e,2026-04-30T17:11:50.186Z,2026-04-29,auto to office,72.00,Travel,UPI,yes,Cinta:72|You:0,
bafa726d-e9a2-4d37-8644-67c9e50acf69,2026-04-30T17:12:55.975Z,2026-04-30,auto to flat kottayam,100.00,Travel,UPI,yes,,
d6989f1d-93d9-4045-b4f4-273146bc6771,2026-04-30T17:16:58.494Z,2026-04-14,lunch,290.00,Lunch,Card - Moneyback,yes,Hanna:140|You:150,
959baf59-cd62-4c95-9245-31bbbd64b091,2026-04-30T17:17:46.895Z,2026-04-16,club shawaya,462.00,Lunch,Card - Moneyback,yes,You:231|N:231,
ad776fed-df83-44f5-a806-0f413e4bc8c9,2026-04-30T17:20:24.256Z,2026-04-19,greens,177.00,Utilities,Card - Moneyback,yes,,
f1c7fd15-9284-4692-85fe-f1ade2878b72,2026-04-30T17:26:52.886Z,2026-04-22,paragon,350.00,Lunch,Card - Moneyback,yes,Hanna:105|You:105|Maria:140,
a040728f-0147-4e1b-bf9f-4b1f9e3d1de4,2026-04-30T17:28:35.999Z,2026-04-30,avo,350.00,Food,Card - Moneyback,yes,You:175|N:175,
f2d0481d-b13d-4029-8c53-9f8fd2d9ee21,2026-04-30T17:29:56.623Z,2026-04-03,satsuma,680.00,Personal Items,Card - Tata Neu,yes,,
4817e222-be21-49c0-a239-219ec43414b2,2026-04-30T17:30:40.875Z,2026-04-03,juicy - face wash,499.00,Personal Items,Card - Tata Neu,yes,,
